,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
54,54.0,122.0,120.0,2.0,98.36065573770492,1.639344262295083,6605.0,6327.0,278.0,53.012149141181396,93.6026936026936,40.59054446151221,22.758992805755394,278.0,5608.0,19.0,6327.0,0.48119686069326356,0.5188031393067364,0.530121491411814,22.758992805755394,0.936026936026936,0.46987850858818603,0.0420893262679788,0.08055636047522458
55,55.0,123.0,121.0,2.0,98.3739837398374,1.6260162601626007,6728.0,6448.0,280.0,54.02597402597402,94.27609427609427,40.25012025012025,23.02857142857143,280.0,5487.0,17.0,6448.0,0.47146827992151735,0.5285317200784827,0.5402597402597402,23.02857142857143,0.9427609427609428,0.4597402597402597,0.041617122473246136,0.0797153024911032
56,56.0,122.0,122.0,0.0,100.0,0.0,6850.0,6570.0,280.0,55.04817762882279,94.27609427609427,39.22791664727148,23.464285714285715,280.0,5365.0,17.0,6570.0,0.46149444081098756,0.5385055591890124,0.5504817762882279,23.464285714285715,0.9427609427609428,0.4495182237117721,0.040875912408759124,0.07835455435847209
57,57.0,122.0,120.0,2.0,98.36065573770492,1.639344262295083,6972.0,6690.0,282.0,56.05362379555928,94.94949494949495,38.895871153935666,23.72340425531915,282.0,5245.0,15.0,6690.0,0.45184761281883584,0.5481523871811642,0.5605362379555928,23.72340425531915,0.9494949494949495,0.4394637620444072,0.04044750430292599,0.07758976475443666
58,58.0,123.0,123.0,0.0,100.0,0.0,7095.0,6813.0,282.0,57.08420611646418,94.94949494949495,37.86528883303077,24.159574468085108,282.0,5122.0,15.0,6813.0,0.44179202092871156,0.5582079790712884,0.5708420611646418,24.159574468085108,0.9494949494949495,0.4291579388353582,0.039746300211416494,0.07629870129870131
59,59.0,122.0,122.0,0.0,100.0,0.0,7217.0,6935.0,282.0,58.10640971931294,94.94949494949495,36.843085230182005,24.592198581560282,282.0,5000.0,15.0,6935.0,0.4318181818181818,0.5681818181818182,0.5810640971931295,24.592198581560282,0.9494949494949495,0.41893590280687054,0.03907440764860746,0.07505988820867714
60,60.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,7339.0,7056.0,283.0,59.12023460410557,95.28619528619528,36.16596068208971,24.93286219081272,283.0,4879.0,14.0,7056.0,0.42200784826684107,0.5779921517331589,0.5912023460410557,24.93286219081272,0.9528619528619529,0.4087976539589443,0.03856111186810192,0.07412257726558406
61,61.0,123.0,123.0,0.0,100.0,0.0,7462.0,7179.0,283.0,60.150816925010474,95.28619528619528,35.135378361184806,25.367491166077738,283.0,4756.0,14.0,7179.0,0.4119522563767168,0.5880477436232832,0.6015081692501048,25.367491166077738,0.9528619528619529,0.39849183074989525,0.03792548914500134,0.0729475447866993
62,62.0,122.0,122.0,0.0,100.0,0.0,7584.0,7301.0,283.0,61.17302052785924,95.28619528619528,34.113174758336044,25.79858657243816,283.0,4634.0,14.0,7301.0,0.40197841726618705,0.5980215827338129,0.6117302052785923,25.79858657243816,0.9528619528619529,0.3882697947214076,0.03731540084388186,0.07181829717040984
63,63.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,7706.0,7422.0,284.0,62.18684541265186,95.62289562289563,33.436050210243764,26.133802816901408,284.0,4513.0,13.0,7422.0,0.3921680837148463,0.6078319162851537,0.6218684541265186,26.133802816901408,0.9562289562289562,0.37813154587348136,0.03685439916947833,0.07097338498063227
64,64.0,122.0,122.0,0.0,100.0,0.0,7828.0,7544.0,284.0,63.209049015500625,95.62289562289563,32.413846607395,26.56338028169014,284.0,4391.0,13.0,7544.0,0.38219424460431656,0.6178057553956835,0.6320904901550063,26.56338028169014,0.9562289562289562,0.3679095098449937,0.036280020439448134,0.06990769230769231
